Hotel_Name,Price,Rating,Reviews,City,Rating_status
Holiday Inn Express Ahmedabad Prahlad Nagar By Ihg,8320,8.1,6334,Ahmedabad,High
Ginger Ahmedabad RTO Circle,3989,7.9,1908,Ahmedabad,Medium
Artilla Inn,4994,8.4,3294,Ahmedabad,High
Bloom Hotel - SG Highway,6258,9.4,408,Ahmedabad,High
Hotel Nalanda,4552,8.4,1906,Ahmedabad,High
Exora Inn,3108,8.6,798,Ahmedabad,High
Riverview,3771,8.2,3050,Ahmedabad,High
Hotel Sanmati,1260,7.2,53,Ahmedabad,Medium
Hotel Kozar,1411,7.4,31,Ahmedabad,Medium
Hotel Silver Springs,546,7.2,476,Ahmedabad,Medium
Ginger Ahmedabad Vastrapur,4724,8.2,4037,Ahmedabad,High
HOTEL SHITAL INN,1870,8.5,66,Ahmedabad,High
Urbane,3759,8.3,2413,Ahmedabad,High
Ginger Sanand,6299,9,2182,Ahmedabad,High
HOTEL SEASON Near Ahmedabad Airport,927,6.8,168,Ahmedabad,Medium
Hotel Flair Inn,2156,8.1,1288,Ahmedabad,High
Fairfield by Marriott Ahmedabad,6825,8,5835,Ahmedabad,High
Hyatt Ahmedabad,11495,8.8,13775,Ahmedabad,High
Tune Hotel - Ahmedabad,2576,7.7,1636,Ahmedabad,Medium
Super Inn Armoise Hotel,2494,7.8,2067,Ahmedabad,Medium
Hotel Swagat Inn,1103,7.3,138,Ahmedabad,Medium
Hotel City Inn,1178,7.6,1135,Ahmedabad,Medium
BloomSuites l Ahmedabad,7749,8.7,2406,Ahmedabad,High
HOTEL THE LOTUS PARK,2540,8,1708,Ahmedabad,High
Hotel Safari Inn,944,7,159,Ahmedabad,Medium
Hotel Avadh Palace RTO Circle Ahmedabad,1785,8.1,189,Ahmedabad,High
Hotel Ashray Inn Express,3675,7.7,1332,Ahmedabad,Medium
Hotel Riverfront,1409,6.8,658,Ahmedabad,Medium
Sarovar Portico Rivera Ahmedabad,4594,7.6,3224,Ahmedabad,Medium
Hotel Pleasant Lake,2462,8.7,901,Ahmedabad,High
Hotel Rudra Mahal,1366,7.7,110,Ahmedabad,Medium
SilverCloud Hotel and Banquets,3584,8.2,6990,Ahmedabad,High
hotel anupam,1260,7.9,109,Ahmedabad,Medium
"Lemon Tree Hotel, Ahmedabad",7309,8.1,7720,Ahmedabad,High
"Keys Select by Lemon Tree Hotels, Gandhi Ashram, Ahmedabad",5152,8.1,3206,Ahmedabad,High
Tribecca Select Near Airport,2204,8,1027,Ahmedabad,High
Courtyard by Marriott Ahmedabad,6195,8.9,25308,Ahmedabad,High
Hotel Privilege Villa,1792,6.9,162,Ahmedabad,Medium
Hotel Gopi Palace,1260,6.3,12,Ahmedabad,Medium
Hotel Prime,1108,7.7,1537,Ahmedabad,Medium
Hotel Shertown,1680,8.1,1360,Ahmedabad,High
Hotel Palliate Ellisbridge,1618,8.2,2320,Ahmedabad,High
Hotel Milan,1511,8.5,801,Ahmedabad,High
Rajshree Hotel Ahmedabad,779,6.7,626,Ahmedabad,Medium
Hotel Dev Corporate,2035,7.2,143,Ahmedabad,Medium
Hotel Mayur palace,1364,6.5,107,Ahmedabad,Medium
Hotel Dev Palace,1260,6.2,7,Ahmedabad,Medium
Silver Heights,3371,8.1,11,Ahmedabad,High
HOTEL NEW YORK,1312,8.8,123,Ahmedabad,High
Bait Inn,2391,8.2,1781,Ahmedabad,High
FabHotel Green Park,1290,6.8,5,Ahmedabad,Medium
WelcomHeritage Mani Mansion,6085,8.6,1573,Ahmedabad,High
Sarovar Portico Kalupur Ahmedabad,9027,8,2113,Ahmedabad,High
Golden Plaza,3583,8.4,597,Ahmedabad,High
Hotel Sarovar Inn,1039,6.9,51,Ahmedabad,Medium
Treatotel,4254,8.2,3688,Ahmedabad,High
Hotel Aarya Grand,3892,8.4,3721,Ahmedabad,High
Hotel Prime View,1381,8.9,37,Ahmedabad,High
Treebo Shree Krishna Palace,2590,7.1,850,Ahmedabad,Medium
"Ginger Ahmedabad, Satellite",6256,8,2201,Ahmedabad,High
HOTEL GOLD LEAF,1578,8.6,131,Ahmedabad,High
OYO 15417 Red Rose,1055,8.1,15,Ahmedabad,High
Oyo 70062 The Royale Celebrations,1128,7.4,42,Ahmedabad,Medium
Global Inn,847,7.8,6,Ahmedabad,Medium
Hotel Long Stay,1574,7,396,Ahmedabad,Medium
Hotel rr palace,2020,8,189,Ahmedabad,High
Hotel Alka Inn,1910,8,1999,Ahmedabad,High
Treebo Trend Ambassador,2914,8.3,12026,Ahmedabad,High
Hotel Elysian Residency,3534,8.6,3163,Ahmedabad,High
Hotel Volga,1816,7.2,1444,Ahmedabad,Medium
Hotel Karnavati,1208,8.7,18,Ahmedabad,High
"Welcomhotel by ITC Hotels, Ashram Road, Ahmedabad",11269,8.9,5603,Ahmedabad,High
Treebo Trend Prince Plaza,2327,7,238,Ahmedabad,Medium
Hotel Radiant,1208,7.1,51,Ahmedabad,Medium
Hotel Centra,3546,8.6,1373,Ahmedabad,High
Magic Palace,1217,7.3,181,Ahmedabad,Medium
Mansarovar,1221,7.8,563,Ahmedabad,Medium
Itsy By Treebo | Shree Regency,1672,9.8,343,Ahmedabad,High
R.J.Residency,1233,6.5,527,Ahmedabad,Medium
Hotel The Grand Suites,4557,8.5,173,Ahmedabad,High
OYO 11067 Hotel Swastik Inn,1136,9,129,Ahmedabad,High
Comfort Inn Sunset,6310,7.8,3846,Ahmedabad,Medium
hotel anjani inn,2100,8.1,715,Ahmedabad,High
Hotel Cosmopolitan,4341,8.7,532,Ahmedabad,High
Carrefour,4465,8.2,1807,Ahmedabad,High
FabExpress Apollo I,1615,7.8,136,Ahmedabad,Medium
HOTEL CAMPUS,1444,8,141,Ahmedabad,High
Taj Skyline Ahmedabad,15943,9,11659,Ahmedabad,High
Hotel Siddhartha Palace,2315,7,774,Ahmedabad,Medium
FabExpress Vibrant Residency,1789,8.5,1013,Ahmedabad,High
The Cloud Hotel,4748,8,329,Ahmedabad,High
Hotel Royal King By Sky Stays,1516,7,31,Ahmedabad,Medium
Royal Pride,1806,7.6,24,Ahmedabad,Medium
Hotel Vice President,2384,7.3,1901,Ahmedabad,Medium
"Fortune Landmark, Ahmedabad - Member ITC's Hotel Group",10030,8.9,9238,Ahmedabad,High
Collection O Airport Road Formerly Hotel Kyra,1771,8.6,8,Ahmedabad,High
Hotel Bhagya,880,7.6,84,Ahmedabad,Medium
"FabHotel Raj Ratna, Ahmedabad",1933,7.5,321,Ahmedabad,Medium
Treebo Trip Maher Inn,2015,7.3,1443,Ahmedabad,Medium
Hotel Furaat Inn,2448,8.1,329,Ahmedabad,High
"Hotel Luxura, Ahmedabad",2310,8.2,154,Ahmedabad,High
Gitanjali Inn,1553,8.2,349,Ahmedabad,High
SN Blu Hotel,3339,8.5,897,Ahmedabad,High
Hotel Inder Residency,7350,7,101,Ahmedabad,Medium
Ambience Inn,2204,7.6,328,Ahmedabad,Medium
"Kanak Beacon Hotel, Ahmedabad",2930,6.9,363,Ahmedabad,Medium
Hotel Chatako,1733,7.4,696,Ahmedabad,Medium
Hotel Gokul,1964,7.8,8,Ahmedabad,Medium
Hotel Tulip Plaza,1908,7.8,369,Ahmedabad,Medium
Regenta Central Antarim Ahmedabad,4725,8.5,6406,Ahmedabad,High
Hotel Pathik,1364,7,219,Ahmedabad,Medium
"Hotel 440, A Serene Stay",3509,8.1,197,Ahmedabad,High
Hill Park Inn,1819,7.4,7,Ahmedabad,Medium
Townhouse 1378 Hotel Metro INN,2374,5.4,47,Ahmedabad,Medium
FabHotel Kamran Palace Ashram Road,1405,8.7,1358,Ahmedabad,High
Hotel G Express,3465,8,1981,Ahmedabad,High
Fortune Park Ahmedabad,10384,8.6,4951,Ahmedabad,High
Balwas,1795,7,26,Ahmedabad,Medium
Hotel Kabir,1812,7.9,1966,Ahmedabad,Medium
Hotel Krishna Naroda,1119,7.2,121,Ahmedabad,Medium
Le Grande Residency,4528,8.2,2539,Ahmedabad,High
Hotel Kinara,1025,7.6,884,Ahmedabad,Medium
Hotel Neelkanth Palace,1428,6.5,893,Ahmedabad,Medium
Regenta Inn Ranip Ahmedabad,5623,8.7,344,Ahmedabad,High
The Cama - A Sabarmati Riverfront Hotel,3056,8,5730,Ahmedabad,High
Crown Hotel Ahmedabad,2599,5.8,5,Ahmedabad,Medium
The Park Residency,4962,8,1266,Ahmedabad,High
Flagship Hotel Rudra Palace,1481,4.3,166,Ahmedabad,Low
FabHotel Apollo,1866,8.6,301,Ahmedabad,High
Hotel Repose,3780,8.5,98,Ahmedabad,High
Capital O 13253 The Grand Vinayak Hotel,2746,8.5,808,Ahmedabad,High
Shree Akshar Restaurant and Hotel,1679,5.6,40,Ahmedabad,Medium
Hotel One Up,1160,7.8,438,Ahmedabad,Medium
Sagar Inn,1238,7.6,1476,Ahmedabad,Medium
Super Hotel O Jamalpur Ahmedabad Formerly Hotel Peace,1634,7.2,496,Ahmedabad,Medium
Apricot Motera,3681,8.9,259,Ahmedabad,High
Hotel Om Balaji,1157,7.7,264,Ahmedabad,Medium
OYO 2265 Hotel Jasmine,1790,6.6,317,Ahmedabad,Medium
Hotel Sparsh Inn - Chandkheda,2490,8,622,Ahmedabad,High
"Pride Plaza Hotel, Ahmedabad",11327,8.6,14475,Ahmedabad,High
Radisson Blu Hotel Ahmedabad,15635,8.9,17208,Ahmedabad,High
Palette by CheckIn River Front Railway Station Formerly Host Inn,4321,7.4,92,Ahmedabad,Medium
HOTEL MAHER Inn,2015,5.7,7,Ahmedabad,Medium
SRTC Hotel Aspire,2939,7,391,Ahmedabad,Medium
Marshall The Grand Hotel,2863,7.7,885,Ahmedabad,Medium
Shrimad,1661,8.8,190,Ahmedabad,High
Ginger Ahmedabad SG Road,10487,7,2245,Ahmedabad,Medium
Hotel O Kalash Residency,1748,7.5,946,Ahmedabad,Medium
Hotel Ashray Inn,3261,7.9,1462,Ahmedabad,Medium
Hotel Suba Star Ahmedabad,5382,7.9,721,Ahmedabad,Medium
Kells And Restaurant,2642,7.2,24,Ahmedabad,Medium
Paras Palace,1049,7.5,10,Ahmedabad,Medium
Hotel Relax Ac Dormitory,1141,7.3,5,Ahmedabad,Medium
"Hotel Nobel Inn, Ahmedabad",1019,9.1,368,Ahmedabad,High
Wyndham Ahmedabad Shela,12236,8.5,4925,Ahmedabad,High
Twilight,2078,6.6,5,Ahmedabad,Medium
